Наименование товара;Артикул;Розничная цена;Остаток на складе
Лежак с бортом 59х53х20 см, меховой, съемная подушка, бежевый;9360-2004C;2090.00;55
Лежак с бортом 53х47х18 см, меховой, съемная подушка, бежевый;9360-2004D;1800.00;38
Матрас для собак 82х60х8 см, серый;9424-2001C;2160.00;97
Матрас для собак 73х53х8 см, серый;9424-2001D;1800.00;9
Матрас для собак 60х45х8 см, серый;9424-2001E;1450.00;16
Лежак подушка 100х73х15 см, со съемным чехлом, серый;9387-2007B;2280.00;21
Лежак подушка 88х65х15 см, со съемным чехлом, серый;9387-2007C;1900.00;91
Лежак подушка 77х57х15 см, со съемным чехлом, серый;9387-2007D;1540.00;82
Лежак подушка 65х50х15 см, со съемным чехлом, серый;9387-2007E;1260.00;78
Лежак круглый с бортом 65х65х18 см, меховой, серый;9371-2003A;2160.00;52
Лежак круглый с бортом 60х60х17 см, меховой, серый;9371-2003B;1900.00;128
Лежак круглый с бортом 55х55х16 см, меховой, серый;9371-2003C;1640.00;74
Лежак круглый с бортом 50х50х15 см, меховой, серый;9371-2003D;1450.00;58
Лежак с бортом 73х59х18 см, съемная меховая подушка, серый;9314-2020B;2280.00;4
Лежак с бортом 62х50х17 см, съемная меховая подушка, серый;9314-2020C;1800.00;36
Лежак с бортом 75х65х24 см, меховой, съемная подушка, серый;9360-2001A;2930.00;6
Лежак с бортом 68х59х22 см, меховой, съемная подушка, серый;9360-2001B;2540.00;47
Лежак с бортом 59х53х20 см, меховой, съемная подушка, серый;9360-2001C;2090.00;49
Лежак с бортом 53х47х18 см, меховой, съемная подушка, серый;9360-2001D;1800.00;37
Матрас для собак 93х65х8 см, графит;9424-2005B;2570.00;25
Матрас для собак 73х53х8 см, графит;9424-2005D;1800.00;6
Матрас для собак 60х45х8 см, графит;9424-2005E;1450.00;37
Автокормушка 2,8 л для сухого корма с видеокамерой, Wi-Fi (IOS/Android);F3-Camera;12300.00;15
Фильтр для автопоилки фонтана W2, сменный;FPW2;683.00;57
Автопоилка фонтан W2 1,5 л для кошек и собак;W2;4100.00;85
Матрас для собак 91х67х8 см, со съемным чехлом, серый;E9300-1905C;3020.00;22
Матрас для собак 79х59х8 см, со съемным чехлом, серый;E9300-1905D;2440.00;36
Матрас для собак 67х51х8 см, со съемным чехлом, серый;E9300-1905E;1930.00;25
Коврик для собак 112х80х2 см, серый;9148-1708A;1240.00;3
Коврик для собак 94х70х2 см, серый;9148-1708C;973.00;17
Лежак подушка 112х80х19 см, пушистый, коричневый;9390-2008A;3060.00;65
Лежак подушка 100х73х17 см, пушистый, коричневый;9390-2008B;2540.00;68
Лежак подушка 88х65х15 см, пушистый, коричневый;9390-2008C;2090.00;79
Лежак подушка 77х57х13 см, пушистый, коричневый;9390-2008D;1710.00;83
Лежак подушка 65х50х11 см, пушистый, коричневый;9390-2008E;1380.00;91
Лежак подушка круглый 76х76х15 см, меховой, бежевый;9414-2002B;3150.00;41
Лежак подушка круглый 66х66х15 см, меховой, бежевый;9414-2002C;2540.00;121
Лежак подушка круглый 56х56х15 см, меховой, бежевый;9414-2002D;1990.00;47
Лежак подушка 100х70х15 см, со съемным чехлом, серый;9379-2006B;2930.00;92
Лежак подушка 86х63х15 см, со съемным чехлом, серый;9379-2006C;2410.00;82
Лежак подушка 76х56х15 см, со съемным чехлом, серый;9379-2006D;1960.00;91
Лежак подушка 64х48х15 см, со съемным чехлом, серый;9379-2006E;1580.00;91
Коврик для собак 104х75х2 см, бежевый;9148-1705B;1140.00;39
Коврик для собак 112х80х2 см, бежевый;9148-1705A;1240.00;12
Матрас для собак 103х74х8 см, со съемным чехлом, графит;E9300-1902B;3700.00;4
Матрас для собак 91х67х8 см, со съемным чехлом, графит;E9300-1902C;3020.00;31
Матрас для собак 79х59х8 см, со съемным чехлом, графит;E9300-1902D;2440.00;28
Матрас для собак 67х51х8 см, со съемным чехлом, графит;E9300-1902E;1930.00;36
Коврик для собак 94х70х2 см, бежевый;9148-1705C;973.00;12
Коврик для собак 83х64х2 см, бежевый;9148-1705D;839.00;38
Лежак подушка 112х80х19 см, пушистый, серый;9390-2005A;3060.00;74
Лежак подушка 100х73х17 см, пушистый, серый;9390-2005B;2540.00;69
Лежак подушка 88х65х15 см, пушистый, серый;9390-2005C;2090.00;89
Лежак подушка 77х57х13 см, пушистый, серый;9390-2005D;1710.00;79
Лежак подушка 65х50х11 см, пушистый, серый;9390-2005E;1380.00;81
Лежак подушка круглый 76х76х15 см, меховой, серый;9414-2009B;3150.00;43
Лежак подушка круглый 66х66х15 см, меховой, серый;9414-2009C;2540.00;50
Лежак подушка круглый 56х56х15 см, меховой, серый;9414-2009D;1990.00;23
Лежак подушка 100х70х15 см, со съемным чехлом, графит;9379-2007B;2930.00;81
Лежак подушка 86х63х15 см, со съемным чехлом, графит;9379-2007C;2410.00;79
Лежак подушка 76х56х15 см, со съемным чехлом, графит;9379-2007D;1960.00;89
Лежак подушка 64х48х15 см, со съемным чехлом, графит;9379-2007E;1580.00;90
Поилка вакуумная 5 л с ручкой на ножках;30284;798.00;136
Кормушка-поилка лотковая 20 см пластик для цыплят;30278;209.00;106
Поилка вакуумная 10 л с ручкой на ножках;30288;1200.00;114
Поилка вакуумная 10 л с винтовой пробкой и ручкой;30253;1150.00;19
Поилка вакуумная 8 л с ручкой на ножках;30286;1020.00;95
Поилка чашечная диаметр 80 мм, пластик с креплением на сетку;30523;276.00;106
Поилка чашечная автоматическая для птиц и кроликов;30668;562.00;131
Поилка навесная с емкостью 0,5 л пластик;30718;342.00;101
Поилка навесная с емкостью 2 л пластик, узкая;30719;462.00;202
Поилка навесная с емкостью 2 л пластик, широкая;30669;552.00;84
Автокормушка 6 секций, ж/к дисплей, белая;F6-LCD-White;3640.00;2
Кормушка-поилка лотковая 20 см пластик для цыплят, розовый;11668;209.00;92
Ниппель поения (180 градусов) для кур-несушек и родителей пластик резьба 1/8;10022;44.00;2918
Ниппель поения (360 градусов) для бройлеров и цыплят пластик резьба 1/8;10025;55.00;17710
Ниппель поения (180 градусов) для кур-несушек / родителей / кроликов  металл резьба 1/8;10010;61.00;14276
Ниппель поения (180 градусов) для кур-несушек / родителей / кроликов металл уплотнитель;10011;72.00;632
Ниппель поения (360 градусов) для бройлеров / молодняка / кроликов металл резьба 1/8;10012;103.00;2265
Поилка ниппельная для свиноматок и откормочных свиней (диаметр 3/4) 1/2 наружная;10098-6;400.00;2333
Поилка ниппельная для свиноматок и откормочных свиней 3/4 наружная;10098-4;400.00;354
Когтеточка-волна 50х30х25 см, серый;PS861;3230.00;186
Когтеточка-комплекс 40х40х60 см, графит;PS772;8640.00;144
Когтеточка-комплекс 50х50х126 см, кремовый;PS803;7780.00;104
Труба квадратная 22х22 мм, 1 м;20010-1;167.00;100
Кормушка педальная ALMA BASICA 21 кг;7230;7700.00;15
Кормушка педальная ALMA BASICA 8 кг;7260;6350.00;13
Шампунь-пена для сухой чистки Catidea, 150 мл,  гвоздика и хвоя;CC3-Yellow;383.00;35
Совок Catidea для сухого корма, желтый;CF201-Yellow;206.00;39
Совок Catidea для кошачьего туалета, кремовый;CL301-Cream;236.00;11
Ножницы для корейской стрижки радуга синие прямые 7 дюймов;KS7;6670.00;1
Электропастух OLLI 450 B PLUS;6000450;26900.00;17
Решетка разделительная для поилок арт. AF-A-04F, AF-A-03T, AF-A-04T;AF3006;211.00;1
Когтеточка-домик 40х40х45 см, серый;PS330-1;7040.00;144
Подставка для кормушек и поилок диаметр 30 см;AF-A-25D;984.00;18
Держатели для подставки кормушек и поилок арт. AF-A-24 (4 шт.);AF-A-26;738.00;99
Крышка для бункерной кормушки арт. AF-A-08;AF-A-08-CP;281.00;10
Кормушка бункерная TAY S 8-10 кг пластик;AF-A-07/S;1480.00;20
Кормушка бункерная DINDO TAY 10-12 кг пластик;AF-A-09;3060.00;10
Кормушка бункерная NUTRA 5-6 кг пластик;AF-A-06L;1410.00;18
Крышка для бункерной кормушки арт. AF-A-07/S, AF-A-10G/S;AF-A-40;141.00;40
Крышка для бункерной кормушки арт. AF-A-06L;AF-A-41;141.00;18
Кормушка бункерная COMPACTA 15.5 кг пластик с разделительной решеткой на ножках;2010P;2590.00;11
Кормушка бункерная COMPACTA 8.5 кг пластик с разделительной решеткой на ножках;2005P;1810.00;1
Кормушка педальная ALMA 28 л;R7210;10000.00;15
Кормушка бункерная ARCUS 6-7 кг пластик с разделительной решеткой на ножках;2110P;1980.00;24
Кормушка бункерная NUTRA S 18-20 кг пластик;AF-A-10G/S;1760.00;19
Кормушка бункерная DINDO 18-20 кг пластик;AF-A-08;2990.00;10
Кормушка педальная ALMA BASICA 11.5 кг;7270;6880.00;13
Кормушка бункерная COMPACTA 8.5 кг пластик с разделительной решеткой;2005;1650.00;26
Кормушка бункерная ARCUS 15 кг пластик с разделительной решеткой на ножках;2120P;2390.00;15
Кормушка бункерная ARCUS 6-7 кг пластик с разделительной решеткой;2110;1800.00;11
Кормушка бункерная ARCUS 15 кг пластик с разделительной решеткой;2120;2340.00;10
Комплект электропастуха для КРС 12/220В на 1000 м;6000122_01;39300.00;30
Комплект электропастуха для КРС 220В на 500 м;6001010_01;24500.00;26
Комплект электропастуха для КРС 12В на 500 м;6000907B_01;32300.00;16
Комплект электропастуха для овец 220В на 1000 м;6006000_01;48600.00;22
Комплект электропастуха для овец 220В на 500 м;6003000_01;37300.00;27
Комплект электропастуха для овец 9В/12В на 500 м;6000907B_03;40600.00;16
Комплект электропастуха для овец 12В на 1000 м;6000180_01;44100.00;40
Комплект электропастуха для свиней 220В на 1000 м;6006000_02;40700.00;22
Комплект электропастуха для свиней 220В на 500 м;6003000_02;29000.00;27
Комплект электропастуха для свиней 9В/12В на 500 м;6000907B_04;32300.00;16
Комплект электропастуха для свиней 12В на 1000 м;6000180_02;36200.00;40
Ножки для бункерных кормушек COMPACTA и ARCUS;1801;256.00;44
Кормушка бункерная COMPACTA 15.5 кг пластик с разделительной решеткой;2010;2390.00;28
Кормушка бункерная ARCUS GYRO 15 кг пластик с разделительной решеткой на ножках;2121P;2550.00;28
Каплеуловитель для трубы 22х22 мм, на одной ножке;4613N;49.00;1384
Брудер-питомник Brinsea TLC-30 Advance профессиональный ;HD381B;27800.00;2
Автокормушка 4,3 л для сухого корма без видеокамеры, Wi-Fi (IOS/Android), серая;F1-WiFi-Grey;9560.00;96
Кормушка бункерная 5 кг, пластик, для поросят;XM5236;3790.00;20
Автокормушка F1-Camera 4,3 л для сухого корма с видеокамерой, Wi-Fi (IOS/Android), серая;F1-Camera-Grey;13400.00;115
Автокормушка 5 секций, ж/к дисплей, серая;PF-105-Grey;5120.00;174
Автокормушка 4,3 л для сухого корма, серая;PF-102-Grey;7510.00;114
Автокормушка 6 секций, ж/к дисплей, розовая;F6-LCD-Pink;3640.00;55
Кормушка бункерная Alba для кроликов 4 секции металл с крышкой;021/40C;2850.00;9
Насадка Heiniger 1/8“ 3 мм;709-991;555.00;3
Насадка Heiniger 1/4“ 6 мм;709-992;555.00;1
Поилка поплавковая Imperial 40 л;11081;6060.00;7
Поилка поплавковая Imperial 50 л;11082;6640.00;3
Кормушка бункерная Imperial 28 кг пластик с разделительной решеткой на ножках;11283;5880.00;14
Кормушка бункерная Imperial 35 кг пластик с разделительной решеткой на ножках;11284;6370.00;8
Решетка разделительная для бункерной кормушки арт. 11100;11140;462.00;50
Держатель металлический для бункерной кормушки арт. 11100;11138;645.00;50
Решетка разделительная для бункерной кормушки арт. 11110, 11160;11145;399.00;47
Держатель металлический для бункерной кормушки арт. 11110, 11160;11137;572.00;49
Поилка чашечная для мелкой птицы, пластик с подключением к емкости, 2 шт.;12135;525.00;86
Гнездо для кур несушек Platinum, 2 секции, на ножках;30891;10600.00;2
Гнездо для кур несушек Platinum, 3 секции, на ножках;30892;13000.00;1
Инкубатор HHD 4, мини;YZ9-4;2040.00;21
Инкубатор HHD 9, мини с овоскопом;YZ9-9;2660.00;64
Инкубатор HHD 12, мини с овоскопом;YZ9-12;5510.00;75
Инкубатор HHD 24 с овоскопом;YZ-24S;6720.00;17
Инкубатор HHD S30;S30;3800.00;23
Инкубатор HHD S52;S52;5280.00;28
Кормушка-поилка 2 л нерж. cталь для поросят;10054;1550.00;150
Перосъёмные пальцы PR499-45 (жёлтые);DI499SH45GIAL;46.00;980
Клипса для гибкой муфты, 1 шт;20015-2;13.00;5820
Гайка пластиковая со штуцером 6мм (P169);9001604;0.00;7
Уплотн.прокладка всасывающего клапана D25RE2 (J051VF);9001124;2180.00;6
Клапан D25RE2 (MPDI122);9001277;1730.00;44
Фильтр для всасывающего шланга 6*9 D25RE2 (MPDI206 (PDI043 );9001435;1120.00;3
Сменный узел для D25RE2 (PC061VF);9001308;18500.00;9
Комплект дозирующей системы для D25RE2 (PJ093VF);9001474;6530.00;28
Комплект дозирующей системы для D25RE5 (PJ119 VF);9001481;7030.00;27
Всасывающий клапан для D25 RE2 (PJDI 074 VF);9001476;4120.00;10
Фиксирующая гайка пластиковая для D25RE2/D400 ст.P168;9001604-P168;762.00;30
Ковер для гнезда 470 x 1186 мм для BD Open;10400560;1830.00;165
Держатель под профиль на регул. давления ;3301-00;397.00;77
Переходник с регулятора на трубу 22х22;3303-00;132.00;1920
Рычаг №11 ;0302002800;248.00;155
Регулировочный винт;0302403601;132.00;1
Гайка на регулятор давления;0302403701;139.00;125
Коврик для собак 62х50х2 см, бежевый;9149-1706F;853.00;108
Коврик для собак 73х57х2 см, серый;9149-1709E;1050.00;55
Коврик для собак 62х50х2 см, серый;9149-1709F;853.00;108
Лежак с бортом 70х58х22 см, меховой, съемная подушка, коричневый;9269-2006B;2570.00;69
Лежак с бортом 60х50х21 см, меховой, съемная подушка, коричневый;9269-2006C;2050.00;97
Лежак с бортом 50х43х20 см, меховой, съемная подушка, коричневый;9269-2006D;1600.00;103
Лежак с бортом 80х68х23 см, меховой, съемная подушка, серый;9270-2007A;3350.00;42
Лежак с бортом 70х58х22 см, меховой, съемная подушка, серый;9270-2007B;2640.00;67
Лежак с бортом 60х50х21 см, меховой, съемная подушка, серый;9270-2007C;2080.00;104
Лежак с бортом 50х43х20 см, меховой, съемная подушка, серый;9270-2007D;1640.00;103
Лежак с бортом 80х68х23 см, меховой, съемная подушка, коричневый;9270-2003A;3350.00;48
Лежак с бортом 70х58х22 см, меховой, съемная подушка, коричневый;9270-2003B;2640.00;74
Лежак с бортом 60х50х21 см, меховой, съемная подушка, коричневый;9270-2003C;2080.00;114
Лежак с бортом 50х43х20 см, меховой, съемная подушка, коричневый;9270-2003D;1640.00;111
Лежак с бортом 84х66х19 см, съемная меховая подушка, серый;9336-2005A;3500.00;46
Лежак с бортом 73х59х18 см, съемная меховая подушка, серый;9336-2005B;2870.00;75
Лежак с бортом 62х50х17 см, съемная меховая подушка, серый;9336-2005C;2230.00;116
Лежак с бортом 52х41х16 см, съемная меховая подушка, серый;9336-2005D;1790.00;112
Лежак с бортом 84х66х19 см, съемная меховая подушка, бежевый;9336-2002A;3500.00;43
Лежак с бортом 73х59х18 см, съемная меховая подушка, бежевый;9336-2002B;2870.00;75
Лежак с бортом 62х50х17 см, съемная меховая подушка, бежевый;9336-2002C;2230.00;113
Лежак с бортом 52х41х16 см, съемная меховая подушка, бежевый;9336-2002D;1790.00;112
Лежак с бортом 84х66х19 см, съемная меховая подушка, крупная клетка;9315-2004A;2940.00;43
Лежак с бортом 73х59х18 см, съемная меховая подушка, крупная клетка;9315-2004B;2380.00;69
Лежак с бортом 62х50х17 см, съемная меховая подушка, крупная клетка;9315-2004C;1860.00;111
Лежак с бортом 52х41х16 см, съемная меховая подушка, крупная клетка;9315-2004D;1490.00;114
Лежак с бортом 84х66х19 см, съемная меховая подушка, мелкая клетка;9315-2003A;2940.00;47
Лежак с бортом 73х59х18 см, съемная меховая подушка, мелкая клетка;9315-2003B;2380.00;71
Лежак с бортом 62х50х17 см, съемная меховая подушка, мелкая клетка;9315-2003C;1860.00;113
Лежак с бортом 52х41х16 см, съемная меховая подушка, мелкая клетка;9315-2003D;1490.00;114
Медикатор MixRite 2.5 (0.3%-2%, 7-2500л/час) PO, LFR / Livestock;2802020P001;24800.00;9
Лежак с бортом 80х68х23 см, меховой, съемная подушка, серый;9269-2005A;3240.00;40
Лежак с бортом 70х58х22 см, меховой, съемная подушка, серый;9269-2005B;2570.00;72
Лежак с бортом 60х50х21 см, меховой, съемная подушка, серый;9269-2005C;2050.00;136
Лежак с бортом 50х43х20 см, меховой, съемная подушка, серый;9269-2005D;1600.00;111
Коврик для собак 112х80х2 см, бежевый;9149-1706A;1900.00;45
Коврик для собак 104х75х2 см, бежевый;9149-1706B;1710.00;55
Коврик для собак 94х70х2 см, бежевый;9149-1706C;1470.00;52
Коврик для собак 83х64х2 см, бежевый;9149-1706D;1280.00;56
Коврик для собак 73х57х2 см, бежевый;9149-1706E;1050.00;55
Коврик для собак 112х80х2 см, серый;9149-1709A;1900.00;41
Коврик для собак 104х75х2 см, серый;9149-1709B;1710.00;47
Коврик для собак 94х70х2 см, серый;9149-1709C;1470.00;48
Коврик для собак 83х64х2 см, серый;9149-1709D;1280.00;49
Лежак с бортом 80х68х23 см, меховой, съемная подушка, коричневый;9269-2006A;3240.00;30
Лампа инфракрасная 175 Bт JK Lighting, E27 R125, закаленное стекло, красная;134173-000;552.00;1264
Лампа инфракрасная 150 Bт JK Lighting, E27 R125, закаленное стекло, красная;135262-000;540.00;646
Лампа инфракрасная 175 Bт JK Lighting, E27 R125, закаленное стекло, прозрачная;184520-000;514.00;843
Лампа инфракрасная 150 Bт JK Lighting, E27 BPAR38, прессованное стекло, рубин;145254-000;626.00;370
Лампа инфракрасная 175 Bт JK Lighting, E27 R38, прессованное стекло, красная;145325-000;581.00;382
Поилка ниппельная с чашей для поросят до 35 кг 1/2 внутреннее верхнее подключение (БД 65-02-3465);10058;1790.00;52
Медикатор MixRite 3.5 (0.3%-2%, 10-3500л/час) PO, LFR / Livestock;2830020P000;29100.00;4
Медикатор MixRite 2.5 (0.3%-2%, 7-2500л/час) PO, LFR, ON/OFF / Livestock;2802021P001;26000.00;9
Медикатор MixRite 2.5 (0.4%-4%, 7-2500л/час) PO, LFR, ON/OFF / Livestock;2802041P001;26000.00;7
Кормушка лотковая 50 см оцинкованная cталь для кур River;122;878.00;2
Комплект лотков для яиц в инкубатор ET 12;512-06;502.00;2
Комплект лотков для яиц в инкубатор ET 24;524-06;796.00;2
Гидропонная установка HobbyFarm Mini 3 ячейки с фитолампой;DQ6200-LA;5190.00;97
Гидропонная установка HobbyFarm Mini 2 ячейки с фитолампой;DQ6200-LB-2;5940.00;95
Гидропонная установка HobbyFarm Mini 6 ячеек с фитолампой;DQ6200-LB-6;6120.00;79
Зарядное устройство для машинки Opal;709-070;4900.00;3
Инкубатор Rcom 20 DO MAX с овоскопом;MX-20DO;36400.00;22
Инкубатор Rcom 20 DO PRO с овоскопом;PX-20DO;52500.00;22
Инкубатор Rcom 50 DO MAX с овоскопом;MX-50DO;57000.00;44
Инкубатор Rcom 50 DO PRO с овоскопом;PX-50DO;68300.00;44
Термостат MARU;C38-303-10;703.00;5
Ролик слайдера H50 Slider Roller ASM;H50-H691-10;35.00;74
Лоток для мелких яиц Rcom 50;H50-H621-10;2110.00;6
Инкубатор Rcom Maru 100 Deluxe MAX;MX-100SD;100600.00;2
Инкубатор Rcom Maru 200 Deluxe MAX;MX-200SD;116900.00;2
Инкубатор Rcom Maru 100 Deluxe PRO;PX-100SD;113300.00;2
Инкубатор Rcom Maru 200 Deluxe PRO;PX-200SD;128400.00;3
Лоток для куриных яиц Rcom 20;H20-F208-10;1050.00;3
Автоматическая насосная система (APS) ASM King Suro 20;K20-AH522-10;4500.00;4
Разделитель для лотка King Suro 20;K20-H523-10;53.00;42
Лоток для куриных яиц Rcom 50;H50-A607-10;2110.00;7
Лоток для крупных яиц Rcom 50;H50-H620-10;2110.00;8
Дождевик для стальной кормушки 40 кг, 328 мм, уценка;013/42-US;2170.00;2
Переноска Superior Range 51х33х33 см, стандарт IATA;HC022-L50;1750.00;36
Переноска Safari Range 45х30х29 см;HC015A-L45;1040.00;81
Универсальный лоток Rcom 20 с разделителями;H20-AF233-10;1930.00;3
Переноска Departures Range 88х56х65 см с колесами и выдвижной ручкой;HC020-L88;11400.00;6
Переноска Departures Range 50х33х33 см с металлической верхней решеткой;HC013A-L50T;1810.00;185
Переноска Departures Range 56х37х33 см с металлической верхней решеткой;HC013G-L55T;2730.00;289
Переноска Superior Range 51х33х33 см с креплением к ремню безопасности автомобиля и металлической верхней решеткой;HC022-L50T;2080.00;70
Медикатор MixRite 3.5 (0.5%-5%, 10-3500л/час) PO, LFR, ON/OFF / Livestock;2830051P001;29800.00;1
Переноска Superior Range 51х33х33 см с креплением к ремню безопасности автомобиля;HC029-L50T;2080.00;81
Переноска Superior Range 61х42.5х41 см, стандарт IATA;HC022-L60;3430.00;51
Аккумулятор для машинки Opal;709-100;6180.00;3
Лежак с бортом 53х47х18 см, меховой, съемная подушка, бежевый;9255-2003D;1860.00;120
Лежак с бортом 48х42х17 см, меховой, съемная подушка, бежевый;9255-2003E;1560.00;118
Лежак с бортом 75х65х24 см, меховой, съемная подушка, кремовый;9255-2001A;3010.00;50
Лежак с бортом 68х59х22 см, меховой, съемная подушка, кремовый;9255-2001B;2640.00;78
Лежак с бортом 59х53х20 см, меховой, съемная подушка, кремовый;9255-2001C;2160.00;120
Лежак с бортом 53х47х18 см, меховой, съемная подушка, кремовый;9255-2001D;1860.00;120
Лежак с бортом 48х42х17 см, меховой, съемная подушка, кремовый;9255-2001E;1560.00;119
Лежак с бортом 75х65х24 см, меховой, съемная подушка, темно-серый;9342-2001A;3720.00;49
Лежак с бортом 68х59х22 см, меховой, съемная подушка, темно-серый;9342-2001B;3280.00;78
Лежак с бортом 59х53х20 см, меховой, съемная подушка, темно-серый;9342-2001C;2640.00;120
Лежак с бортом 53х47х18 см, меховой, съемная подушка, темно-серый;9342-2001D;2310.00;120
Лежак с бортом 48х42х17 см, меховой, съемная подушка, темно-серый;9342-2001E;1940.00;120
Лежак круглый с бортом 65х65х18 см, меховой, бежевый;9374-2001A;2160.00;64
Лежак круглый с бортом 60х60х17 см, меховой, бежевый;9374-2001B;1860.00;152
Лежак круглый с бортом 55х55х16 см, меховой, бежевый;9374-2001C;1600.00;96
Лежак круглый с бортом 50х50х15 см, меховой, бежевый;9374-2001D;1380.00;96
Лежак круглый с бортом 65х65х18 см, меховой, голубой;9374-2003A;2160.00;64
Лежак круглый с бортом 60х60х17 см, меховой, голубой;9374-2003B;1860.00;152
Лежак круглый с бортом 55х55х16 см, меховой, голубой;9374-2003C;1600.00;96
Лежак круглый с бортом 50х50х15 см, меховой, голубой;9374-2003D;1380.00;96
Лежак круглый с бортом 65х65х18 см, меховой, коричневый;9372-2003A;2160.00;64
Лежак круглый с бортом 60х60х17 см, меховой, коричневый;9372-2003B;1860.00;96
Лежак круглый с бортом 55х55х16 см, меховой, коричневый;9372-2003C;1600.00;96
Лежак круглый с бортом 50х50х15 см, меховой, коричневый;9372-2003D;1380.00;96
Лежак круглый с бортом 65х65х18 см, меховой, белый;9372-2001A;2160.00;64
Лежак круглый с бортом 60х60х17 см, меховой, белый;9372-2001B;1860.00;96
Лежак круглый с бортом 55х55х16 см, меховой, белый;9372-2001C;1600.00;96
Лежак круглый с бортом 50х50х15 см, меховой, белый;9372-2001D;1380.00;96
Лежак с бортом 75х65х24 см, меховой, съемная подушка, бежевый;9255-2003A;3010.00;49
Лежак с бортом 68х59х22 см, меховой, съемная подушка, бежевый;9255-2003B;2640.00;74
Лежак с бортом 59х53х20 см, меховой, съемная подушка, бежевый;9255-2003C;2160.00;120
Лежак с бортом 84х66х19 см, меховой, съемная подушка, коричневый;9236-2009A;3130.00;47
Лежак с бортом 73х59х18 см, меховой, съемная подушка, коричневый;9236-2009B;2530.00;77
Лежак с бортом 62х50х17 см, меховой, съемная подушка, коричневый;9236-2009C;1970.00;117
Лежак с бортом 52х41х16 см, меховой, съемная подушка, коричневый;9236-2009D;1560.00;119
Лежак с бортом 75х65х24 см, вельвет, съемная подушка, черно-белый;9253-2007A;3010.00;49
Лежак с бортом 68х59х22 см, вельвет, съемная подушка, черно-белый;9253-2007B;2640.00;78
Лежак с бортом 59х53х20 см, вельвет, съемная подушка, черно-белый;9253-2007C;2160.00;119
Лежак с бортом 53х47х18 см, вельвет, съемная подушка, черно-белый;9253-2007D;1860.00;119
Лежак с бортом 48х42х17 см, вельвет, съемная подушка, черно-белый;9253-2007E;1560.00;117
Лежак с бортом 68х59х22 см, вельвет, съемная подушка, графит;9253-2002B;2640.00;76
Лежак с бортом 59х53х20 см, вельвет, съемная подушка, графит;9253-2002C;2160.00;120
Лежак с бортом 53х47х18 см, вельвет, съемная подушка, графит;9253-2002D;1860.00;120
Лежак с бортом 48х42х17 см, вельвет, съемная подушка, графит;9253-2002E;1560.00;120
Лежак с бортом 75х65х24 см, меховой, съемная подушка, бежевый;9256-2003A;3130.00;49
Лежак с бортом 68х59х22 см, меховой, съемная подушка, бежевый;9256-2003B;2720.00;78
Лежак с бортом 59х53х20 см, меховой, съемная подушка, бежевый;9256-2003C;2230.00;119
Лежак с бортом 53х47х18 см, меховой, съемная подушка, бежевый;9256-2003D;1940.00;120
Лежак с бортом 75х65х24 см, меховой, съемная подушка, коричневый;9256-2005A;3130.00;50
Лежак с бортом 68х59х22 см, меховой, съемная подушка, коричневый;9256-2005B;2720.00;78
Лежак с бортом 59х53х20 см, меховой, съемная подушка, коричневый;9256-2005C;2230.00;120
Лежак с бортом 53х47х18 см, меховой, съемная подушка, коричневый;9256-2005D;1940.00;120
Лежак с бортом 48х42х17 см, меховой, съемная подушка, коричневый;9256-2005E;1600.00;119
Матрас для собак 105х85х11 см, бежевый, клетка;E7011-1612A;3980.00;80
Матрас для собак 85х65х9 см, бежевый, клетка;E7011-1612C;2720.00;84
Матрас для собак 75х55х8 см, бежевый, клетка;E7011-1612D;2120.00;78
Матрас для собак 105х85х11 см, серый, клетка;E7011-1613A;3980.00;80
Матрас для собак 95х75х10 см, серый, клетка;E7011-1613B;3350.00;84
Матрас для собак 85х65х9 см, серый, клетка;E7011-1613C;2720.00;84
Матрас для собак 75х55х8 см, серый, клетка;E7011-1613D;2120.00;79
Матрас для собак 103х72х8 см, меховой, серый;9426-2003A;2830.00;79
Матрас для собак 93х65х8 см, меховой, серый;9426-2003B;2380.00;79
Матрас для собак 82х60х8 см, меховой, серый;9426-2003C;2010.00;80
Матрас для собак 73х53х8 см, меховой, серый;9426-2003D;1640.00;82
Матрас для собак 60х45х8 см, меховой, серый;9426-2003E;1380.00;84
Матрас для собак 103х72х8 см, меховой, бежевый;9426-2006A;2830.00;80
Матрас для собак 93х65х8 см, меховой, бежевый;9426-2006B;2380.00;80
Матрас для собак 82х60х8 см, меховой, бежевый;9426-2006C;2010.00;79
Матрас для собак 73х53х8 см, меховой, бежевый;9426-2006D;1640.00;84
Матрас для собак 60х45х8 см, меховой, бежевый;9426-2006E;1380.00;84
Матрас для собак 95х75х10 см, бежевый, клетка;E7011-1612B;3350.00;84
Матрас для собак 105х85х11 см, серый, клетка;E7011-1615A;3980.00;80
Матрас для собак 75х55х8 см, серый, клетка;E7011-1615D;2120.00;80
Матрас для собак 95х75х10 см, серый, клетка;E7011-1615B;3350.00;84
Матрас для собак 85х65х9 см, серый, клетка;E7011-1615C;2720.00;84
Пеленки для домашних животных Pet Choice впитывающие одноразовые 60х45 см (50 шт.);BDL-M;871.00;167
Сетка сварная 150*75 см из оцинкованной проволоки 2 мм, ячейка 25*100 мм;BF0001;150.00;80
Лежак с бортом 75х65х24 см, вельвет, съемная подушка, графит;9253-2002A;3010.00;47
