Наименование товара;Артикул;Розничная цена;Остаток на складе
Нож для травы;KRN-02;218.00;9
Матрица 5 мм для гранулятора G150;DIE50;8150.00;9
Мельница для зерна Grillo ручная;2167A0000;9600.00;1
Сито для зернодробилки Novital диаметр  1 мм;00003504P;1390.00;4
Сито для зернодробилки Novital диаметр  1.5 мм;00003509P;1390.00;2
Крышка для обогревательной панели Comfort пластик 40х60 см;WP-60C;1830.00;8
Нож для корнеплодов;KRN-03;488.00;1
Ящик для транспортировки яиц 63х33х50 см пластик;AF-A-18R;2460.00;2
Кольцо 9 мм одного цвета с нумерацией, 50 шт.;J93;615.00;703
Кольцо 9 мм, 100 шт.;J13;462.00;382
Коленчатый вал XTRA/12V;717-715;907.00;4
Шарикоподшипник XTRA/12V;721-106;303.00;13
Шарикоподшипник 608-2RS XTRA;717-725;643.00;7
Коленчатый вал Xpert;708-245;1070.00;8
Рычажной привод блока;706-507;190.00;15
Управляющая часть X-SERIES;708-150;948.00;2
Коленчатый вал Xperience;708-145;894.00;9
Ротор X-Series 240V вкл. шарикоподшипник;708-132;9870.00;2
Шарикоподшипник Xpert;701-636;558.00;6
Выключатель XTRA/HANDY 12V;701-631;754.00;4
Стригальная головка к машинке Heiniger XTRA;717-700;22700.00;2
Щипцы для маркировки выщипами на ушах, крест;AI-10817;3880.00;1
Бирка ушная двойная красная большая;AI-10920;46.00;169
Бирка ушная двойная желтая;AI-10922;46.00;458
Бирка ушная двойная красная средняя;AI-10923;46.00;2
Инкубатор Brinsea Maxi II EX 14;AC27B;30700.00;14
Инкубатор Brinsea Ovation EX 28;AF37B;38400.00;20
Инкубатор Brinsea Ovation EX 56;AG47B;47600.00;20
Триммер Heiniger Style Mini для стрижки кошек и собак;707-210;10400.00;11
Лапка крепления ножей 3 дюйма XTRA/12 В левая;717-706;1320.00;7
Лапка крепления ножей 3 дюйма XTRA/12 В правая;717-707;1410.00;7
Винт для крепления лезвий;717-720;201.00;6
Удерживающая пластина XTRA/12V;717-709;1270.00;5
Фильтр для аквариума Newa Kanist NKF350;00_88_002;9360.00;4
Крышка для обогревательной панели Comfort пластик 40х50 см;WP-50C;1610.00;4
Переходник для клетки ;181/30/10S;100.00;78
Рейка для пола ;544/00;164.00;18
Крюк пружинный для клетки, 72 мм;532/01;61.00;1238
Автопоилка 27 л оцинкованная сталь для собак;2002;16100.00;9
Поилка вакуумная PLASTIFLEX 3,5 л ;AF-A-43;316.00;38
Поилка вакуумная PLASTIFLEX 5 л ;AF-A-44;351.00;35
Поилка вакуумная KOMBO 5 л с ручкой ;AF-A-03;703.00;48
Поилка вакуумная KOMBO 15 л с винтовой пробкой и ручкой;AF-A-05;1410.00;53
Поилка колокольная автоматическая ARION II диаметр 50 см в комплекте шнур и шланг;AF-A-02;4390.00;6
Шестерня Z30 для машинки Xtra;717-711;759.00;19
Шестерня для машинки Heiniger Xtra Z21/12 VS84;701-613;2840.00;14
Верхний нож Aesculap GT578 для овец с 4 зубьями;GT578;1480.00;19
Нижний нож Aesculap GT588 для овец с 13 зубьями 3,5 мм;GT588;2950.00;23
Автокормушка 4 секции с отд. для льда, зеленая;PF-04A-GREEN;3810.00;163
Автокормушка 4 секции ж/к дисплей с отд. для льда, желтая;PF-05A-YELLOW;4330.00;71
Электронная плата с экраном для ET 12;512-03;3360.00;2
Электронная плата с экраном для ET 24;524-03;3490.00;6
